Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2023     Honda     CR-V Hybrid.,2,4.4,5,4,4,4,4.5,4.5,2023,Honda,CR-V Hybrid.
2023     Honda     Pilot.,,,,,,,,,2023,Honda,Pilot.
2023     Honda     CR-V.,3,4.9,5,5,5,4.3,4.7,5,2023,Honda,CR-V.
2023     Honda     Civic.,2,4,4,3.5,4.5,3.5,3.5,5,2023,Honda,Civic.
2023     Honda     Civic Si.,,,,,,,,,2023,Honda,Civic Si.
2023     Honda     Ridgeline.,5,4.8,5,4.8,4.8,4.4,5,5,2023,Honda,Ridgeline.
2023     Honda     Accord Hybrid.,,,,,,,,,2023,Honda,Accord Hybrid.
2023     Honda     Passport.,,,,,,,,,2023,Honda,Passport.
2023     Honda     Odyssey.,1,4.4,5,5,4,4,4,5,2023,Honda,Odyssey.
2023     Honda     HR-V.,1,4.6,4,5,4,5,5,5,2023,Honda,HR-V.
2023     Honda     Accord.,,,,,,,,,2023,Honda,Accord.
2023     Honda     Civic Type R.,1,5,5,5,5,5,5,5,2023,Honda,Civic Type R.
2023     Hyundai     Elantra N.,,,,,,,,,2023,Hyundai,Elantra N.
2023     Hyundai     Tucson Hybrid.,1,4.7,5,5,4,5,4,5,2023,Hyundai,Tucson Hybrid.
2023     Hyundai     Palisade.,5,5,5,5,5,5,5,5,2023,Hyundai,Palisade.
2023     Hyundai     Santa Cruz.,3,4.4,4.7,4.7,4.3,3.7,4.3,4.3,2023,Hyundai,Santa Cruz.
2023     Hyundai     Tucson.,3,4.5,4.7,4.3,4.3,4.3,4.7,4.3,2023,Hyundai,Tucson.
2023     Hyundai     Kona.,6,4,4.5,4.3,3.5,3.8,4.5,3.7,2023,Hyundai,Kona.
2023     Hyundai     Sonata.,5,4.4,4.6,4.6,4.2,4.2,4.6,4.2,2023,Hyundai,Sonata.
2023     Hyundai     Elantra.,4,4.4,4.2,4.2,4.8,3.5,4.8,4.5,2023,Hyundai,Elantra.
2023     Hyundai     Santa Fe HEV.,,,,,,,,,2023,Hyundai,Santa Fe HEV.
2023     Hyundai     Venue.,2,4.8,5,4.5,5,5,5,5,2023,Hyundai,Venue.
2023     Hyundai     Kona N.,,,,,,,,,2023,Hyundai,Kona N.
2023     Hyundai     Santa Fe.,3,5,5,5,5,5,5,5,2023,Hyundai,Santa Fe.
2023     Hyundai     Elantra HEV.,3,4.2,4.7,4.7,3.7,3.7,4.7,4.3,2023,Hyundai,Elantra HEV.
2023     Hyundai     Sonata Hybrid.,2,4.7,5,5,5,4.5,4.5,5,2023,Hyundai,Sonata Hybrid.
2023     Hyundai     Tucson Plug-In Hybrid.,,,,,,,,,2023,Hyundai,Tucson Plug-In Hybrid.
2023     Hyundai     Santa Fe Plug-In Hybrid.,,,,,,,,,2023,Hyundai,Santa Fe Plug-In Hybrid.
2023     INFINITI     QX50.,,,,,,,,,2023,INFINITI,QX50.
2023     INFINITI     QX80.,,,,,,,,,2023,INFINITI,QX80.
2023     INFINITI     QX55.,,,,,,,,,2023,INFINITI,QX55.
2023     INFINITI     QX60.,2,5,5,5,5,4.5,5,5,2023,INFINITI,QX60.
2023     INFINITI     Q50.,1,1.6,2,1,2,1,3,1,2023,INFINITI,Q50.
2023     Jaguar     F-PACE.,1,5,5,5,5,5,5,5,2023,Jaguar,F-PACE.
2023     Jaguar     XF.,,,,,,,,,2023,Jaguar,XF.
2023     Jaguar     F-TYPE.,1,4.3,4,4,5,3,5,4,2023,Jaguar,F-TYPE.
2023     Jaguar     I-PACE.,,,,,,,,,2023,Jaguar,I-PACE.
2023     Jeep     Grand Cherokee.,1,5,5,5,5,5,5,5,2023,Jeep,Grand Cherokee.
2023     Jeep     Gladiator.,2,4.6,5,5,5,4.5,4,4.5,2023,Jeep,Gladiator.
2023     Jeep     Grand Cherokee L.,4,4.8,4.8,5,4.8,4.8,5,4.8,2023,Jeep,Grand Cherokee L.
2023     Jeep     Wrangler.,1,5,5,5,5,5,5,5,2023,Jeep,Wrangler.
2023     Jeep     Wrangler 4xe.,2,3,3,3,3,3,3.5,3,2023,Jeep,Wrangler 4xe.
2023     Jeep     Grand Cherokee 4xe.,2,5,5,5,5,5,5,5,2023,Jeep,Grand Cherokee 4xe.
2023     Jeep     Wagoneer.,,,,,,,,,2023,Jeep,Wagoneer.
2023     Jeep     Grand Wagoneer.,,,,,,,,,2023,Jeep,Grand Wagoneer.
2023     Jeep     Compass.,,,,,,,,,2023,Jeep,Compass.
2023     Jeep     Wagoneer L.,1,4.6,5,5,5,4,4,4,2023,Jeep,Wagoneer L.
2023     Jeep     Cherokee.,,,,,,,,,2023,Jeep,Cherokee.
2023     Jeep     Grand Wagoneer L.,,,,,,,,,2023,Jeep,Grand Wagoneer L.
2023     Jeep     Renegade.,,,,,,,,,2023,Jeep,Renegade.
2023     Kia     Carnival.,1,4.9,5,4,5,5,5,5,2023,Kia,Carnival.
2023     Kia     Sportage Hybrid.,3,5,5,5,5,5,5,5,2023,Kia,Sportage Hybrid.
2023     Kia     Telluride.,4,5,5,5,5,5,5,5,2023,Kia,Telluride.
2023     Kia     Sorento.,1,4.7,5,5,5,4,5,5,2023,Kia,Sorento.
2023     Kia     Stinger.,2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2023,Kia,Stinger.
2023     Kia     Soul.,1,4.6,4,5,4,5,4,5,2023,Kia,Soul.
2023     Kia     Sorento Hybrid.,2,4.5,4.5,4,4.5,4.5,5,4.5,2023,Kia,Sorento Hybrid.
2023     Kia     Sportage.,22,4.4,4.7,4.7,4.2,4.1,4.6,4.2,2023,Kia,Sportage.
2023     Kia     K5.,7,5,5,5,5,5,5,5,2023,Kia,K5.
2023     Kia     Seltos.,6,4.8,4.5,5,4.8,4.8,4.8,4.8,2023,Kia,Seltos.
2023     Kia     Niro Plug-In Hybrid.,,,,,,,,,2023,Kia,Niro Plug-In Hybrid.
2023     Kia     Niro.,3,4.9,5,5,4.3,5,5,5,2023,Kia,Niro.
2023     Kia     Sorento Plug-In Hybrid.,,,,,,,,,2023,Kia,Sorento Plug-In Hybrid.
2023     Kia     Forte.,3,4.8,5,5,4.7,5,5,4,2023,Kia,Forte.
2023     Kia     Rio.,2,4.8,5,4.5,4.5,5,5,5,2023,Kia,Rio.
2023     Kia     Sportage Plug-In Hybrid.,,,,,,,,,2023,Kia,Sportage Plug-In Hybrid.
2023     Land Rover     Defender.,1,5,5,5,5,5,5,5,2023,Land,Rover Defender.
2023     Land Rover     Range Rover Velar.,,,,,,,,,2023,Land,Rover Range Rover Velar.
2023     Land Rover     Range Rover Sport.,,,,,,,,,2023,Land,Rover Range Rover Sport.
2023     Land Rover     Range Rover.,,,,,,,,,2023,Land,Rover Range Rover.
2023     Land Rover     Discovery Sport.,2,3,3,3,3,3,3,3,2023,Land,Rover Discovery Sport.
2023     Land Rover     Range Rover Evoque.,,,,,,,,,2023,Land,Rover Range Rover Evoque.
2023     Land Rover     Discovery.,,,,,,,,,2023,Land,Rover Discovery.
2023     Lexus     ES 300h.,1,4.9,5,5,4,5,5,5,2023,Lexus,ES 300h.
2023     Lexus     UX 250h.,1,5,5,5,5,5,5,5,2023,Lexus,UX 250h.
2023     Lexus     IS 350.,1,4.9,5,5,5,4,5,5,2023,Lexus,IS 350.
2023     Lexus     LS 500.,,,,,,,,,2023,Lexus,LS 500.
2023     Lexus     NX 350.,,,,,,,,,2023,Lexus,NX 350.
2023     Lexus     NX 250.,1,5,5,5,5,5,5,5,2023,Lexus,NX 250.
2023     Lexus     RX 500h.,,,,,,,,,2023,Lexus,RX 500h.
2023     Lexus     RX 350h.,,,,,,,,,2023,Lexus,RX 350h.
2023     Lexus     NX 350h.,1,2.6,3,3,3,1,3,3,2023,Lexus,NX 350h.
2023     Lexus     LC 500.,,,,,,,,,2023,Lexus,LC 500.
2023     Lexus     IS 500.,,,,,,,,,2023,Lexus,IS 500.
2023     Lexus     LX 600.,1,5,5,5,5,5,5,5,2023,Lexus,LX 600.
2023     Lexus     GX 460.,2,4.8,5,4.5,4.5,5,4.5,5,2023,Lexus,GX 460.
2023     Lexus     ES 350.,,,,,,,,,2023,Lexus,ES 350.
2023     Lexus     NX 450h+.,,,,,,,,,2023,Lexus,NX 450h+.
2023     Lexus     RX 350.,1,5,5,5,5,5,5,5,2023,Lexus,RX 350.
2023     Lexus     IS 300.,,,,,,,,,2023,Lexus,IS 300.
2023     Lexus     RC 350.,,,,,,,,,2023,Lexus,RC 350.
2023     Lexus     ES 250.,,,,,,,,,2023,Lexus,ES 250.
2023     Lincoln     Aviator.,,,,,,,,,2023,Lincoln,Aviator.
2023     Lincoln     Navigator.,,,,,,,,,2023,Lincoln,Navigator.
2023     Lincoln     Navigator L.,,,,,,,,,2023,Lincoln,Navigator L.
2023     Lincoln     Corsair.,,,,,,,,,2023,Lincoln,Corsair.
2023     Lincoln     Nautilus.,,,,,,,,,2023,Lincoln,Nautilus.
2023     Mazda     CX-9.,,,,,,,,,2023,Mazda,CX-9.
2023     Mazda     CX-30.,,,,,,,,,2023,Mazda,CX-30.
2023     Mazda     MX-5 Miata.,,,,,,,,,2023,Mazda,MX-5 Miata.
2023     Mazda     CX-5.,,,,,,,,,2023,Mazda,CX-5.
2023     Mazda     CX-50.,11,4.1,3.6,4,4.2,4.1,4.5,4.4,2023,Mazda,CX-50.
2023     Mazda     Mazda3.,,,,,,,,,2023,Mazda,Mazda3.
2023     Mazda     MX-5 Miata RF.,,,,,,,,,2023,Mazda,MX-5 Miata RF.
2023     Mercedes-Benz     AMG GLE 63.,,,,,,,,,2023,Mercedes-Benz,AMG GLE 63.
2023     Mercedes-Benz     C-Class.,2,4.8,5,5,5,4.5,4.5,5,2023,Mercedes-Benz,C-Class.
2023     Mercedes-Benz     GLE 350.,,,,,,,,,2023,Mercedes-Benz,GLE 350.
2023     Mercedes-Benz     AMG C 43.,,,,,,,,,2023,Mercedes-Benz,AMG C 43.
2023     Mercedes-Benz     AMG GLE 53.,,,,,,,,,2023,Mercedes-Benz,AMG GLE 53.
2023     Mercedes-Benz     CLA 250.,,,,,,,,,2023,Mercedes-Benz,CLA 250.
2023     Mercedes-Benz     S-Class.,1,4.7,5,5,5,4,4,5,2023,Mercedes-Benz,S-Class.
2023     Mercedes-Benz     Maybach GLS 600.,,,,,,,,,2023,Mercedes-Benz,Maybach GLS 600.
2023     Mercedes-Benz     E-Class.,,,,,,,,,2023,Mercedes-Benz,E-Class.
2023     Mercedes-Benz     GLE 450.,,,,,,,,,2023,Mercedes-Benz,GLE 450.
2023     Mercedes-Benz     Sprinter 2500.,,,,,,,,,2023,Mercedes-Benz,Sprinter 2500.
2023     Mercedes-Benz     GLA 250.,,,,,,,,,2023,Mercedes-Benz,GLA 250.
2023     Mercedes-Benz     AMG CLA 45.,,,,,,,,,2023,Mercedes-Benz,AMG CLA 45.
2023     Mercedes-Benz     AMG E 53.,,,,,,,,,2023,Mercedes-Benz,AMG E 53.
2023     Mercedes-Benz     GLB 250.,1,5,5,5,5,5,5,5,2023,Mercedes-Benz,GLB 250.
2023     Mercedes-Benz     CLS 450.,,,,,,,,,2023,Mercedes-Benz,CLS 450.
2023     Mercedes-Benz     GLS 450.,,,,,,,,,2023,Mercedes-Benz,GLS 450.
2023     Mercedes-Benz     EQS 450+.,1,5,5,5,5,5,5,5,2023,Mercedes-Benz,EQS 450+.
2023     Mercedes-Benz     AMG CLA 35.,,,,,,,,,2023,Mercedes-Benz,AMG CLA 35.
2023     Mercedes-Benz     AMG GT 63.,,,,,,,,,2023,Mercedes-Benz,AMG GT 63.
2023     Mercedes-Benz     GLC 300.,,,,,,,,,2023,Mercedes-Benz,GLC 300.
2023     Mercedes-Benz     AMG GLC 43.,,,,,,,,,2023,Mercedes-Benz,AMG GLC 43.
2023     Mercedes-Benz     AMG GT 53.,,,,,,,,,2023,Mercedes-Benz,AMG GT 53.
2023     Mercedes-Benz     AMG GT 43.,,,,,,,,,2023,Mercedes-Benz,AMG GT 43.
2023     Mercedes-Benz     GLE 580.,,,,,,,,,2023,Mercedes-Benz,GLE 580.
2023     Mercedes-Benz     G-Class.,,,,,,,,,2023,Mercedes-Benz,G-Class.
2023     Mercedes-Benz     AMG GLA 45.,,,,,,,,,2023,Mercedes-Benz,AMG GLA 45.
2023     Mercedes-Benz     Maybach S 680.,,,,,,,,,2023,Mercedes-Benz,Maybach S 680.
2023     Mercedes-Benz     AMG GLA 35.,,,,,,,,,2023,Mercedes-Benz,AMG GLA 35.
2023     Mercedes-Benz     EQB 350.,,,,,,,,,2023,Mercedes-Benz,EQB 350.
2023     Mercedes-Benz     Sprinter 1500.,,,,,,,,,2023,Mercedes-Benz,Sprinter 1500.
2023     Mercedes-Benz     Metris.,,,,,,,,,2023,Mercedes-Benz,Metris.
2023     Mercedes-Benz     Maybach S 580.,,,,,,,,,2023,Mercedes-Benz,Maybach S 580.
2023     Mitsubishi     Outlander PHEV.,,,,,,,,,2023,Mitsubishi,Outlander PHEV.
2023     Mitsubishi     Outlander Sport.,,,,,,,,,2023,Mitsubishi,Outlander Sport.
2023     Mitsubishi     Eclipse Cross.,1,3.3,5,5,1,3,4,2,2023,Mitsubishi,Eclipse Cross.
2023     Mitsubishi     Mirage.,1,2.6,2,5,1,3,5,1,2023,Mitsubishi,Mirage.
2023     Mitsubishi     Outlander.,4,5,5,5,5,5,5,5,2023,Mitsubishi,Outlander.
2023     Mitsubishi     Mirage G4.,1,4.7,5,4,4,5,5,5,2023,Mitsubishi,Mirage G4.
2023     Nissan     Kicks.,1,5,5,5,5,5,5,5,2023,Nissan,Kicks.
2023     Nissan     Armada.,,,,,,,,,2023,Nissan,Armada.
2023     Nissan     Z.,1,5,5,5,5,5,5,5,2023,Nissan,Z.
2023     Nissan     Pathfinder.,2,4.8,5,5,4.5,4.5,5,4.5,2023,Nissan,Pathfinder.
2023     Nissan     Versa.,,,,,,,,,2023,Nissan,Versa.
2023     Nissan     Frontier.,5,4.7,4.4,4.6,4.6,5,4.8,4.6,2023,Nissan,Frontier.
2023     Nissan     Titan XD.,,,,,,,,,2023,Nissan,Titan XD.
2023     Nissan     Altima.,3,4.8,4.7,4.3,4.7,4.7,5,5,2023,Nissan,Altima.
2023     Nissan     Rogue.,15,2.9,3.4,3.4,2.7,2.6,3.3,2.5,2023,Nissan,Rogue.
2023     Nissan     Titan.,1,5,5,5,5,5,5,5,2023,Nissan,Titan.
2023     Nissan     Sentra.,,,,,,,,,2023,Nissan,Sentra.
2023     Nissan     Maxima.,1,4.9,5,5,5,4,5,5,2023,Nissan,Maxima.
2023     Nissan     Murano.,1,5,5,5,5,5,5,5,2023,Nissan,Murano.
2023     Nissan     GT-R.,,,,,,,,,2023,Nissan,GT-R.
2023     Porsche     Panamera E-Hybrid.,,,,,,,,,2023,Porsche,Panamera E-Hybrid.
2023     Porsche     Macan.,3,4.5,4.7,4.3,5,4,4.7,4.3,2023,Porsche,Macan.
2023     Porsche     Cayenne.,,,,,,,,,2023,Porsche,Cayenne.
2023     Porsche     911.,,,,,,,,,2023,Porsche,911
2023     Porsche     Panamera.,,,,,,,,,2023,Porsche,Panamera.
2023     Porsche     718 Cayman.,,,,,,,,,2023,Porsche,718 Cayman.
2023     Porsche     718 Boxster.,,,,,,,,,2023,Porsche,718 Boxster.
2023     Porsche     Taycan Cross Turismo.,,,,,,,,,2023,Porsche,Taycan Cross Turismo.
2023     RAM     3500.,,,,,,,,,2023,RAM,3500
2023     RAM     2500.,,,,,,,,,2023,RAM,2500
2023     RAM     1500.,,,,,,,,,2023,RAM,1500
2023     RAM     ProMaster 1500.,,,,,,,,,2023,RAM,ProMaster 1500.
2023     RAM     ProMaster 2500.,,,,,,,,,2023,RAM,ProMaster 2500.
2023     RAM     ProMaster 3500.,,,,,,,,,2023,RAM,ProMaster 3500.
2023     RAM     1500 Classic.,,,,,,,,,2023,RAM,1500 Classic.
2023     RAM     ProMaster 2500 Window Van.,,,,,,,,,2023,RAM,ProMaster 2500 Window Van.
2023     Subaru     Crosstrek.,3,4.9,5,5,4.7,4.3,5,5,2023,Subaru,Crosstrek.
2023     Subaru     Legacy.,,,,,,,,,2023,Subaru,Legacy.
2023     Subaru     Impreza.,1,5,5,5,5,5,5,5,2023,Subaru,Impreza.
2023     Subaru     BRZ.,1,5,5,5,5,5,5,5,2023,Subaru,BRZ.
2023     Subaru     Outback.,12,4.6,4.7,4.4,4.3,4.8,4.8,4.8,2023,Subaru,Outback.
2023     Subaru     Forester.,2,5,5,5,5,5,4.5,5,2023,Subaru,Forester.
2023     Subaru     Ascent.,,,,,,,,,2023,Subaru,Ascent.
2023     Subaru     Crosstrek Hybrid.,,,,,,,,,2023,Subaru,Crosstrek Hybrid.
2023     Subaru     WRX.,,,,,,,,,2023,Subaru,WRX.
2023     Toyota     Corolla Hybrid.,,,,,,,,,2023,Toyota,Corolla Hybrid.
2023     Toyota     Tundra.,,,,,,,,,2023,Toyota,Tundra.
2023     Toyota     Highlander.,1,4.9,5,5,5,5,4,5,2023,Toyota,Highlander.
2023     Toyota     Tacoma.,2,3.5,4,4,3,3,4.5,3,2023,Toyota,Tacoma.
2023     Toyota     4Runner.,4,5,5,5,4.8,5,5,5,2023,Toyota,4Runner.
2023     Toyota     Camry.,5,4.9,5,4.6,5,4.8,4.8,5,2023,Toyota,Camry.
2023     Toyota     Camry Hybrid.,,,,,,,,,2023,Toyota,Camry Hybrid.
2023     Toyota     RAV4 Prime.,,,,,,,,,2023,Toyota,RAV4 Prime.
2023     Toyota     Sienna.,1,5,5,5,5,5,5,5,2023,Toyota,Sienna.
2023     Toyota     Corolla Cross.,,,,,,,,,2023,Toyota,Corolla Cross.
2023     Toyota     Tundra Hybrid.,,,,,,,,,2023,Toyota,Tundra Hybrid.
2023     Toyota     Sequoia.,5,4.3,4.4,4.4,4.6,3.8,4.4,4.6,2023,Toyota,Sequoia.
2023     Toyota     RAV4.,3,3.9,4,4,3.7,3.7,4,4,2023,Toyota,RAV4.
